x,y,ln(x),ln(x)y,ln(x)^2
1968.3716,325.57,7.5850,2469.4360,57.5316
1968.4563,325.36,7.5850,2467.8572,57.5323
1968.5383,324.14,7.5850,2458.6170,57.5329
1968.6230,322.11,7.5851,2443.2332,57.5336
1968.7077,320.33,7.5851,2429.7455,57.5342
1968.7896,320.25,7.5852,2429.1520,57.5349
1968.8743,321.32,7.5852,2437.2820,57.5355
1968.9563,322.89,7.5853,2449.2042,57.5362
1969.0411,324.00,7.5853,2457.6378,57.5368
1969.1260,324.41,7.5853,2460.7618,57.5375
1969.2027,325.63,7.5854,2470.0286,57.5381
1969.2877,326.66,7.5854,2477.8556,57.5387
1969.3699,327.38,7.5855,2483.3308,57.5393
1969.4548,326.71,7.5855,2478.2626,57.5400
1969.5370,325.88,7.5856,2471.9803,57.5406
1969.6219,323.66,7.5856,2455.1543,57.5413
1969.7068,322.38,7.5856,2445.4586,57.5419
1969.7890,321.78,7.5857,2440.9207,57.5426
1969.8740,322.85,7.5857,2449.0513,57.5432
1969.9562,324.11,7.5858,2458.6228,57.5439
1970.0411,325.06,7.5858,2465.8433,57.5445
1970.1260,325.99,7.5859,2472.9121,57.5452
1970.2027,326.93,7.5859,2480.0556,57.5458
1970.2877,328.13,7.5859,2489.1728,57.5464
1970.3699,328.08,7.5860,2488.8072,57.5470
1970.4548,327.67,7.5860,2485.7111,57.5477
1970.5370,326.34,7.5861,2475.6353,57.5483
1970.6219,324.68,7.5861,2463.0564,57.5490
1970.7068,323.10,7.5861,2451.0843,57.5496
1970.7890,323.06,7.5862,2450.7943,57.5503
1970.8740,324.01,7.5862,2458.0152,57.5509
1970.9562,325.13,7.5863,2466.5253,57.5516
1971.0411,326.17,7.5863,2474.4291,57.5522
1971.1260,326.69,7.5864,2478.3880,57.5529
1971.2027,327.18,7.5864,2482.1181,57.5535
1971.2877,327.78,7.5864,2486.6840,57.5541
1971.3699,328.93,7.5865,2495.4222,57.5547
1971.4548,328.57,7.5865,2492.7052,57.5554
1971.5370,327.36,7.5866,2483.5391,57.5560
1971.6219,325.43,7.5866,2468.9111,57.5567
1971.7068,323.36,7.5867,2453.2207,57.5573
1971.7890,323.56,7.5867,2454.7515,57.5580
1971.8740,324.80,7.5867,2464.1730,57.5586
1971.9562,326.01,7.5868,2473.3666,57.5593
1972.0410,326.77,7.5868,2479.1466,57.5599
1972.1257,327.63,7.5869,2485.6853,57.5606
1972.2049,327.75,7.5869,2486.6089,57.5612
1972.2896,329.72,7.5870,2501.5693,57.5618
1972.3716,330.07,7.5870,2504.2384,57.5624
1972.4563,329.09,7.5870,2496.8173,57.5631
1972.5383,328.04,7.5871,2488.8646,57.5637
1972.6230,326.32,7.5871,2475.8288,57.5644
1972.7077,324.84,7.5872,2464.6138,57.5650
