x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1966.9562,321.02,7.5842,5.7715,43.7725,57.5207
1967.0411,322.33,7.5843,5.7756,43.8036,57.5214
1967.1260,322.50,7.5843,5.7761,43.8079,57.5220
1967.2027,323.03,7.5844,5.7777,43.8205,57.5226
1967.2877,324.41,7.5844,5.7820,43.8531,57.5233
1967.3699,325.00,7.5845,5.7838,43.8671,57.5239
1967.4548,324.09,7.5845,5.7810,43.8461,57.5246
1967.5370,322.54,7.5845,5.7762,43.8100,57.5252
1967.6219,320.92,7.5846,5.7712,43.7721,57.5259
1967.7068,319.25,7.5846,5.7660,43.7327,57.5265
1967.7890,319.39,7.5847,5.7664,43.7363,57.5272
1967.8740,320.73,7.5847,5.7706,43.7683,57.5278
1967.9562,321.96,7.5848,5.7744,43.7976,57.5284
1968.0410,322.57,7.5848,5.7763,43.8122,57.5291
1968.1257,323.15,7.5848,5.7781,43.8261,57.5298
1968.2049,323.89,7.5849,5.7804,43.8437,57.5304
1968.2896,325.02,7.5849,5.7839,43.8703,57.5310
1968.3716,325.57,7.5850,5.7856,43.8834,57.5316
1968.4563,325.36,7.5850,5.7849,43.8787,57.5323
1968.5383,324.14,7.5850,5.7812,43.8505,57.5329
1968.6230,322.11,7.5851,5.7749,43.8031,57.5336
1968.7077,320.33,7.5851,5.7694,43.7613,57.5342
1968.7896,320.25,7.5852,5.7691,43.7596,57.5349
1968.8743,321.32,7.5852,5.7724,43.7852,57.5355
1968.9563,322.89,7.5853,5.7773,43.8224,57.5362
1969.0411,324.00,7.5853,5.7807,43.8487,57.5368
1969.1260,324.41,7.5853,5.7820,43.8585,57.5375
1969.2027,325.63,7.5854,5.7858,43.8872,57.5381
1969.2877,326.66,7.5854,5.7889,43.9114,57.5387
1969.3699,327.38,7.5855,5.7911,43.9284,57.5393
1969.4548,326.71,7.5855,5.7891,43.9131,57.5400
1969.5370,325.88,7.5856,5.7865,43.8940,57.5406
1969.6219,323.66,7.5856,5.7797,43.8424,57.5413
1969.7068,322.38,7.5856,5.7757,43.8126,57.5419
1969.7890,321.78,7.5857,5.7739,43.7987,57.5426
1969.8740,322.85,7.5857,5.7772,43.8242,57.5432
1969.9562,324.11,7.5858,5.7811,43.8539,57.5439
1970.0411,325.06,7.5858,5.7840,43.8764,57.5445
1970.1260,325.99,7.5859,5.7869,43.8983,57.5452
1970.2027,326.93,7.5859,5.7897,43.9204,57.5458
1970.2877,328.13,7.5859,5.7934,43.9484,57.5464
1970.3699,328.08,7.5860,5.7933,43.9475,57.5470
1970.4548,327.67,7.5860,5.7920,43.9383,57.5477
1970.5370,326.34,7.5861,5.7879,43.9077,57.5483
1970.6219,324.68,7.5861,5.7828,43.8692,57.5490
1970.7068,323.10,7.5861,5.7780,43.8325,57.5496
1970.7890,323.06,7.5862,5.7778,43.8318,57.5503
1970.8740,324.01,7.5862,5.7808,43.8543,57.5509
1970.9562,325.13,7.5863,5.7842,43.8807,57.5516
1971.0411,326.17,7.5863,5.7874,43.9052,57.5522
1971.1260,326.69,7.5864,5.7890,43.9175,57.5529
1971.2027,327.18,7.5864,5.7905,43.9291,57.5535
1971.2877,327.78,7.5864,5.7923,43.9433,57.5541
1971.3699,328.93,7.5865,5.7958,43.9701,57.5547
1971.4548,328.57,7.5865,5.7947,43.9620,57.5554
1971.5370,327.36,7.5866,5.7911,43.9343,57.5560
1971.6219,325.43,7.5866,5.7851,43.8897,57.5567
1971.7068,323.36,7.5867,5.7788,43.8415,57.5573
1971.7890,323.56,7.5867,5.7794,43.8464,57.5580
1971.8740,324.80,7.5867,5.7832,43.8757,57.5586
1971.9562,326.01,7.5868,5.7869,43.9042,57.5593
1972.0410,326.77,7.5868,5.7893,43.9221,57.5599
1972.1257,327.63,7.5869,5.7919,43.9423,57.5606
1972.2049,327.75,7.5869,5.7923,43.9453,57.5612
1972.2896,329.72,7.5870,5.7982,43.9910,57.5618
1972.3716,330.07,7.5870,5.7993,43.9993,57.5624
1972.4563,329.09,7.5870,5.7963,43.9770,57.5631
1972.5383,328.04,7.5871,5.7931,43.9530,57.5637
1972.6230,326.32,7.5871,5.7879,43.9133,57.5644
1972.7077,324.84,7.5872,5.7833,43.8791,57.5650
1972.7896,325.20,7.5872,5.7844,43.8877,57.5657
1972.8743,326.50,7.5872,5.7884,43.9182,57.5663
1972.9563,327.55,7.5873,5.7916,43.9428,57.5669
1973.0411,328.55,7.5873,5.7947,43.9662,57.5676
1973.1260,329.57,7.5874,5.7978,43.9900,57.5682
1973.2027,330.30,7.5874,5.8000,44.0070,57.5688
1973.2877,331.50,7.5875,5.8036,44.0348,57.5695
1973.3699,332.48,7.5875,5.8066,44.0574,57.5701
1973.4548,332.07,7.5875,5.8053,44.0483,57.5708
1973.5370,330.87,7.5876,5.8017,44.0211,57.5714
1973.6219,329.31,7.5876,5.7970,43.9855,57.5721
1973.7068,327.52,7.5877,5.7915,43.9444,57.5727
1973.7890,327.19,7.5877,5.7905,43.9369,57.5733
1973.8740,328.17,7.5878,5.7935,43.9599,57.5740
1973.9562,328.65,7.5878,5.7950,43.9712,57.5746
1974.0411,329.36,7.5878,5.7972,43.9878,57.5753
1974.1260,330.71,7.5879,5.8012,44.0191,57.5759
1974.2027,331.49,7.5879,5.8036,44.0372,57.5765
1974.2877,332.65,7.5880,5.8071,44.0640,57.5772
1974.3750,333.19,7.5880,5.8087,44.0766,57.5779
1974.4583,332.20,7.5880,5.8057,44.0542,57.5785
1974.5417,331.07,7.5881,5.8023,44.0286,57.5791
1974.6250,329.15,7.5881,5.7965,43.9847,57.5798
1974.7083,327.33,7.5882,5.7910,43.9429,57.5804
1974.7917,327.28,7.5882,5.7908,43.9420,57.5811
1974.8750,328.31,7.5883,5.7940,43.9661,57.5817
1974.9583,329.58,7.5883,5.7978,43.9956,57.5823
1975.0417,330.73,7.5883,5.8013,44.0223,57.5830
1975.1250,331.46,7.5884,5.8035,44.0393,57.5836
1975.2083,331.94,7.5884,5.8050,44.0505,57.5843
1975.2917,333.11,7.5885,5.8085,44.0774,57.5849
1975.3750,333.95,7.5885,5.8110,44.0968,57.5855
1975.4583,333.42,7.5886,5.8094,44.0850,57.5862
1975.5417,331.97,7.5886,5.8050,44.0521,57.5868
1975.6250,329.95,7.5886,5.7989,44.0061,57.5875
1975.7083,328.49,7.5887,5.7945,43.9727,57.5881
1975.7917,328.36,7.5887,5.7941,43.9699,57.5887
1975.8750,329.38,7.5888,5.7972,43.9937,57.5894
1975.9583,330.77,7.5888,5.8014,44.0259,57.5900
1976.0417,331.56,7.5889,5.8038,44.0442,57.5907
1976.1250,332.74,7.5889,5.8074,44.0714,57.5913
1976.2083,333.36,7.5889,5.8092,44.0858,57.5919
1976.2917,334.74,7.5890,5.8134,44.1174,57.5926
1976.3750,334.72,7.5890,5.8133,44.1172,57.5932
