x,y,ln(y),xln(y),x^2
1999.6250,367.06,5.9055,11808.8361,3998500.1406
1999.7083,364.95,5.8998,11797.7998,3998833.2851
1999.7917,365.52,5.9013,11801.4127,3999166.8434
1999.8750,366.88,5.9050,11809.3315,3999500.0156
1999.9583,368.26,5.9088,11817.3320,3999833.2017
2000.0417,369.45,5.9120,11824.2774,4000166.8017
2000.1250,369.71,5.9127,11826.1769,4000500.0156
2000.2083,370.75,5.9155,11832.2882,4000833.2434
2000.2917,371.98,5.9188,11839.4067,4001166.8851
2000.3750,371.74,5.9182,11838.6087,4001500.1406
2000.4583,371.87,5.9185,11839.8011,4001833.4100
2000.5417,370.02,5.9136,11830.3175,4002167.0934
2000.6250,368.27,5.9088,11821.3257,4002500.3906
2000.7083,367.15,5.9058,11815.7240,4002833.7017
2000.7917,367.18,5.9059,11816.3800,4003167.4268
2000.8750,368.53,5.9095,11824.2151,4003500.7656
2000.9583,369.83,5.9130,11831.7534,4003834.1183
2001.0417,370.76,5.9156,11837.2721,4004167.8851
2001.1250,371.69,5.9181,11842.7782,4004501.2656
2001.2083,372.63,5.9206,11848.3258,4004834.6600
2001.2917,373.55,5.9231,11853.7545,4005168.4685
2001.3750,374.03,5.9243,11856.8180,4005501.8906
2001.4583,373.40,5.9227,11853.9375,4005835.3266
2001.5417,371.68,5.9180,11845.1904,4006169.1768
2001.6250,369.78,5.9129,11835.4249,4006502.6406
2001.7083,368.34,5.9090,11828.1072,4006836.1183
2001.7917,368.61,5.9097,11830.0668,4007170.0102
2001.8750,369.94,5.9133,11837.7692,4007503.5156
2001.9583,371.42,5.9173,11846.2549,4007837.0349
2002.0417,372.70,5.9208,11853.6361,4008170.9685
2002.1250,373.37,5.9226,11857.7252,4008504.5156
2002.2083,374.30,5.9251,11863.1995,4008838.0766
2002.2917,375.19,5.9274,11868.4490,4009172.0519
2002.3750,375.93,5.9294,11872.8882,4009505.6406
2002.4583,375.69,5.9288,11872.1034,4009839.2432
2002.5417,374.16,5.9247,11864.4258,4010173.2602
2002.6250,372.03,5.9190,11853.4863,4010506.8906
2002.7083,370.92,5.9160,11847.9951,4010840.5349
2002.7917,370.73,5.9155,11847.4623,4011174.5936
2002.8750,372.43,5.9200,11857.1183,4011508.2656
2002.9583,373.98,5.9242,11865.9302,4011841.9515
2003.0417,375.07,5.9271,11872.2538,4012176.0519
2003.1250,375.82,5.9291,11876.7491,4012509.7656
2003.2083,376.64,5.9313,11881.6090,4012843.4932
2003.2917,377.92,5.9347,11888.9003,4013177.6353
2003.3750,378.78,5.9370,11893.9483,4013511.3906
2003.4583,378.46,5.9361,11892.7496,4013845.1598
2003.5417,376.88,5.9319,11884.8628,4014179.3436
2003.6250,374.57,5.9258,11873.0384,4014513.1406
2003.7083,373.34,5.9225,11866.9414,4014846.9515
2003.7917,373.31,5.9224,11867.2743,4015181.1770
2003.8750,374.84,5.9265,11875.9637,4015515.0156
2003.9583,376.17,5.9300,11883.5552,4015848.8681
2004.0417,377.17,5.9327,11889.3702,4016183.1353
2004.1250,378.05,5.9350,11894.5349,4016517.0156
2004.2083,379.06,5.9377,11900.3766,4016850.9098
2004.2917,380.54,5.9416,11908.6821,4017185.2187
2004.3750,380.80,5.9423,11910.5461,4017519.1406
2004.4583,379.87,5.9398,11906.1397,4017853.0764
2004.5417,377.65,5.9340,11894.8860,4018187.4270
2004.6250,376.17,5.9300,11887.5088,4018521.3906
2004.7083,374.43,5.9254,11878.7083,4018855.3681
2004.7917,374.63,5.9259,11880.2731,4019189.7604
2004.8750,376.33,5.9305,11889.8439,4019523.7656
2004.9583,377.68,5.9340,11897.5173,4019857.7847
2005.0417,378.63,5.9366,11903.0493,4020192.2187
2005.1250,379.91,5.9399,11910.3109,4020526.2656
2005.2083,380.95,5.9427,11916.2875,4020860.3264
2005.2917,382.48,5.9467,11924.8208,4021194.8021
2005.3750,382.64,5.9471,11926.1548,4021528.8906
2005.4583,382.40,5.9465,11925.3920,4021862.9930
2005.5417,380.93,5.9426,11918.1635,4022197.5104
2005.6250,378.93,5.9374,11908.1006,4022531.6406
2005.7083,376.89,5.9320,11897.7681,4022865.7847
2005.7917,377.19,5.9327,11899.8588,4023200.3438
2005.8750,378.54,5.9363,11907.5194,4023534.5156
2005.9583,380.31,5.9410,11917.3716,4023868.7013
2006.0417,381.58,5.9443,11924.5549,4024203.3021
2006.1250,382.40,5.9465,11929.3565,4024537.5156
2006.2083,382.86,5.9477,11932.2637,4024871.7430
2006.2917,384.80,5.9527,11942.9002,4025206.3855
2006.3750,385.22,5.9538,11945.5848,4025540.6406
2006.4583,384.24,5.9513,11940.9698,4025874.9096
2006.5417,382.65,5.9471,11933.1457,4026209.5938
2006.6250,380.60,5.9417,11922.8620,4026543.8906
2006.7083,379.04,5.9376,11915.1150,4026878.2013
2006.7917,379.33,5.9384,11917.1450,4027212.9272
2006.8750,380.35,5.9411,11923.0288,4027547.2656
2006.9583,382.02,5.9455,11932.3163,4027881.6179
2007.0417,383.10,5.9483,11938.4782,4028216.3855
2007.1250,384.12,5.9510,11944.3106,4028550.7656
2007.2083,384.81,5.9527,11948.4086,4028885.1596
2007.2917,386.73,5.9577,11958.8955,4029219.9689
2007.3750,386.78,5.9579,11959.6513,4029554.3906
2007.4583,386.33,5.9567,11957.8106,4029888.8262
2007.5417,384.73,5.9525,11949.9759,4030223.6772
2007.6250,382.24,5.9460,11937.4360,4030558.1406
2007.7083,381.20,5.9433,11932.4613,4030892.6179
2007.7917,381.37,5.9438,11933.8521,4031227.5106
2007.8750,382.70,5.9473,11941.3374,4031562.0156
2007.9583,384.19,5.9511,11949.6354,4031896.5345
2008.0417,385.78,5.9553,11958.4250,4032231.4689
2008.1250,386.06,5.9560,11960.3780,4032566.0156
2008.2083,386.28,5.9566,11962.0182,4032900.5762
2008.2917,387.33,5.9593,11967.9666,4033235.5523
2008.3750,388.78,5.9630,11975.9675,4033570.1406
2008.4583,387.99,5.9610,11972.3789,4033904.7428
2008.5417,386.61,5.9574,11965.7193,4034239.7606
2008.6250,384.32,5.9515,11954.2826,4034574.3906
2008.7083,383.41,5.9491,11950.0164,4034909.0345
2008.7917,383.22,5.9486,11949.5169,4035244.0940
2008.8750,384.41,5.9517,11956.2408,4035578.7656
2008.9583,385.79,5.9553,11963.9357,4035913.4511
2009.0417,387.17,5.9589,11971.6060,4036248.5523
2009.1250,387.70,5.9602,11974.8508,4036583.2656
2009.2083,389.04,5.9637,11982.2797,4036917.9928
2009.2917,389.76,5.9655,11986.4923,4037253.1357
2009.3750,390.36,5.9671,11990.0801,4037587.8906
2009.4583,389.70,5.9654,11987.1768,4037922.6594
2009.5417,388.24,5.9616,11980.1314,4038257.8440
2009.6250,386.29,5.9566,11970.5089,4038592.6406
2009.7083,384.95,5.9531,11964.0215,4038927.4511
2009.7917,384.64,5.9523,11962.8989,4039262.6774
2009.8750,386.23,5.9564,11971.6859,4039597.5156
2009.9583,387.63,5.9601,11979.4545,4039932.3677
2010.0417,388.91,5.9633,11986.5781,4040267.6357
2010.1250,390.41,5.9672,11994.8128,4040602.5156
2010.2083,391.37,5.9697,12000.2468,4040937.4094
2010.2917,392.67,5.9730,12007.4111,4041272.7191
2010.3750,393.21,5.9743,12010.6715,4041607.6406
2010.4583,392.38,5.9722,12006.9209,4041942.5760
2010.5417,390.41,5.9672,11997.2993,4042277.9274
2010.6250,388.54,5.9624,11988.1427,4042612.8906
2010.7083,387.03,5.9585,11980.8098,4042947.8677
2010.7917,387.43,5.9595,11983.3839,4043283.2608
2010.8750,388.87,5.9632,11991.3405,4043618.2656
2010.9583,389.99,5.9661,11997.6207,4043953.2843
2011.0417,391.50,5.9700,12005.8898,4044288.7191
2011.1250,392.05,5.9714,12009.2105,4044623.7656
2011.2083,392.80,5.9733,12013.5517,4044958.8260
2011.2917,393.44,5.9749,12017.3243,4045294.3025
2011.3750,394.41,5.9774,12022.7748,4045629.3906
2011.4583,393.95,5.9762,12020.9254,4045964.4926
2011.5417,392.72,5.9731,12015.1335,4046300.0108
2011.6250,390.33,5.9670,12003.3514,4046635.1406
2011.7083,389.28,5.9643,11998.4296,4046970.2843
2011.7917,389.19,5.9641,11998.4618,4047305.8442
2011.8750,390.48,5.9674,12005.6161,4047641.0156
2011.9583,392.06,5.9714,12014.2377,4047976.2009
2012.0417,393.31,5.9746,12021.1405,4048311.8025
2012.1250,394.04,5.9765,12025.3693,4048647.0156
2012.2083,394.59,5.9778,12028.6739,4048982.2426
2012.2917,396.38,5.9824,12038.2802,4049317.8859
2012.3750,396.93,5.9838,12041.5689,4049653.1406
2012.4583,395.91,5.9812,12036.8892,4049988.4092
2012.5417,394.56,5.9778,12030.5139,4050324.0942
2012.6250,392.59,5.9728,12020.9378,4050659.3906
2012.7083,391.32,5.9695,12014.9138,4050994.7009
2012.7917,391.27,5.9694,12015.1545,4051330.4276
2012.8750,393.20,5.9743,12025.5561,4051665.7656
2012.9583,394.57,5.9778,12033.0552,4052001.1175
2013.0417,395.78,5.9809,12039.7176,4052336.8859
2013.1250,397.03,5.9840,12046.5638,4052672.2656
2013.2083,397.66,5.9856,12050.2543,4053007.6592
2013.2917,398.64,5.9881,12055.7090,4053343.4693
2013.3750,400.02,5.9915,12063.1656,4053678.8906
2013.4583,398.81,5.9885,12057.5651,4054014.3258
2013.5417,397.51,5.9852,12051.4902,4054350.1776
2013.6250,395.39,5.9799,12041.2210,4054685.6406
2013.7083,393.72,5.9756,12033.1959,4055021.1175
2013.7917,393.90,5.9761,12034.6147,4055357.0110
2013.8750,395.36,5.9798,12042.5632,4055692.5156
2013.9583,397.03,5.9840,12051.5503,4056028.0341
2014.0417,398.04,5.9866,12057.1664,4056363.9693
2014.1250,398.27,5.9871,12058.8285,4056699.5156
2014.2083,399.91,5.9912,12067.6044,4057035.0758
2014.2917,401.51,5.9952,12076.1469,4057371.0527
2014.3750,401.96,5.9964,12078.9027,4057706.6406
2014.4583,401.43,5.9950,12076.7443,4058042.2424
2014.5417,399.27,5.9896,12066.3753,4058378.2610
2014.6250,397.18,5.9844,12056.3009,4058713.8906
2014.7083,395.54,5.9803,12048.4632,4059049.5341
2014.7917,396.16,5.9818,12052.1176,4059385.5944
2014.8750,397.40,5.9849,12058.9127,4059721.2656
2014.9583,399.08,5.9892,12067.9115,4060056.9507
2015.0417,400.18,5.9919,12073.9575,4060393.0527
2015.1250,400.55,5.9928,12076.3189,4060728.7656
2015.2083,401.74,5.9958,12082.7962,4061064.4924
2015.2917,403.34,5.9998,12091.3066,4061400.6361
2015.3750,404.15,6.0018,12095.8497,4061736.3906
2015.4583,402.97,5.9989,12090.4564,4062072.1590
2015.5417,401.46,5.9951,12083.3900,4062408.3444
2015.6250,399.11,5.9892,12072.0560,4062744.1406
2015.7083,397.82,5.9860,12066.0292,4063079.9507
2015.7917,398.49,5.9877,12069.9205,4063416.1778
2015.8750,400.27,5.9921,12079.4039,4063752.0156
2015.9583,402.06,5.9966,12088.8982,4064087.8673
2016.0417,402.73,5.9983,12092.7551,4064424.1361
2016.1250,404.25,6.0020,12100.8498,4064760.0156
2016.2083,405.06,6.0040,12105.3856,4065095.9090
2016.2917,407.60,6.0103,12118.4904,4065432.2195
2016.3750,407.90,6.0110,12120.4746,4065768.1406
2016.4583,406.99,6.0088,12116.4717,4066104.0756
2016.5417,404.59,6.0029,12105.0462,4066440.4278
2016.6250,402.45,5.9976,12094.8513,4066776.3906
2016.7083,401.23,5.9945,12089.2281,4067112.3673
2016.7917,401.79,5.9959,12092.5410,4067448.7612
2016.8750,403.72,6.0007,12102.7053,4067784.7656
2016.9583,404.64,6.0030,12107.7962,4068120.7839
2017.0417,406.36,6.0072,12116.8525,4068457.2195
2017.1250,406.65,6.0080,12118.7919,4068793.2656
2017.2083,407.54,6.0101,12123.7025,4069129.3256
2017.2917,409.22,6.0143,12132.5025,4069465.8029
2017.3750,409.89,6.0159,12136.3037,4069801.8906
2017.4583,409.08,6.0139,12132.8141,4070137.9922
2017.5417,407.33,6.0096,12124.6664,4070474.5112
2017.6250,405.32,6.0047,12115.1862,4070810.6406
2017.7083,403.57,6.0003,12106.9559,4071146.7839
2017.7917,403.82,6.0010,12108.7059,4071483.3446
2017.8750,405.31,6.0047,12116.6376,4071819.5156
2017.9583,407.00,6.0088,12125.5344,4072155.7005
2018.0417,408.15,6.0116,12131.7296,4072492.3029
2018.1250,408.52,6.0125,12134.0590,4072828.5156
2018.2083,409.59,6.0152,12139.8391,4073164.7422
2018.2917,410.45,6.0173,12144.5740,4073501.3863
2018.3750,411.44,6.0197,12149.9377,4073837.6406
2018.4583,410.99,6.0186,12148.2303,4074173.9088
2018.5417,408.90,6.0135,12138.4412,4074510.5946
2018.6250,407.16,6.0092,12130.3339,4074846.8906
2018.7083,405.71,6.0056,12123.6325,4075183.2005
2018.7917,406.19,6.0068,12126.5204,4075519.9280
2018.8750,408.21,6.0118,12137.0359,4075856.2656
2018.9583,409.27,6.0144,12142.7725,4076192.6171
2019.0417,411.03,6.0187,12151.9380,4076529.3863
2019.1250,411.96,6.0209,12157.0027,4076865.7656
2019.2083,412.18,6.0215,12158.5823,4077202.1588
2019.2917,413.54,6.0248,12165.7362,4077538.9697
2019.3750,414.86,6.0279,12172.6736,4077875.3906
2019.4583,414.15,6.0262,12169.7166,4078211.8254
2019.5417,411.96,6.0209,12159.5116,4078548.6780
2019.6250,410.17,6.0166,12151.2186,4078885.1406
2019.7083,408.76,6.0131,12144.7649,4079221.6171
2019.7917,408.74,6.0131,12145.1676,4079558.5114
2019.8750,410.47,6.0173,12154.1996,4079895.0156
2019.9583,411.97,6.0210,12162.0690,4080231.5337
2020.0417,413.59,6.0249,12170.4990,4080568.4697
2020.1250,414.32,6.0266,12174.5633,4080905.0156
2020.2083,414.72,6.0276,12177.0148,4081241.5754
2020.2917,416.42,6.0317,12185.7821,4081578.5531
2020.3750,417.28,6.0338,12190.4527,4081915.1406
2020.4583,416.58,6.0321,12187.5631,4082251.7420
2020.5417,414.58,6.0273,12178.3422,4082588.7614
2020.6250,412.75,6.0228,12169.9053,4082925.3906
2020.7083,411.50,6.0198,12164.2781,4083262.0337
2020.7917,411.49,6.0198,12164.7310,4083599.0948
2020.8750,413.10,6.0237,12173.1239,4083935.7656
2020.9583,414.23,6.0264,12179.1463,4084272.4503
2021.0417,415.49,6.0295,12185.7872,4084609.5531
2021.1250,416.72,6.0324,12192.2638,4084946.2656
2021.2083,417.61,6.0345,12197.0785,4085282.9920
2021.2917,419.01,6.0379,12204.3466,4085620.1365
2021.3750,419.09,6.0381,12205.2355,4085956.8906
2021.4583,418.93,6.0377,12204.9665,4086293.6586
2021.5417,416.90,6.0328,12195.6505,4086630.8448
2021.6250,414.42,6.0269,12184.0912,4086967.6406
2021.7083,413.26,6.0241,12178.9263,4087304.4503
2021.7917,413.90,6.0256,12182.5574,4087641.6782
2021.8750,414.97,6.0282,12188.2795,4087978.5156
2021.9583,416.67,6.0323,12197.0480,4088315.3669
2022.0417,418.13,6.0358,12204.6239,4088652.6365
2022.1250,419.24,6.0384,12210.4877,4088989.5156
2022.2083,418.76,6.0373,12208.6741,4089326.4086
2022.2917,420.19,6.0407,12216.0716,4089663.7199
2022.3750,420.97,6.0426,12220.3255,4090000.6406
2022.4583,420.94,6.0425,12220.6847,4090337.5752
2022.5417,418.85,6.0375,12211.1215,4090674.9282
2022.6250,417.15,6.0334,12203.3985,4091011.8906
2022.7083,415.91,6.0305,12197.8795,4091348.8669
2022.7917,415.74,6.0301,12197.5554,4091686.2616
2022.8750,417.47,6.0342,12206.4580,4092023.2656
2022.9583,418.99,6.0378,12214.3128,4092360.2835
2023.0417,419.47,6.0390,12217.1327,4092697.7199
2023.1250,420.31,6.0410,12221.6830,4093034.7656
2023.2083,420.99,6.0426,12225.4568,4093371.8252
2023.2917,423.31,6.0481,12237.0802,4093709.3033
2023.3750,424.00,6.0497,12240.8794,4094046.3906
2023.4583,423.68,6.0490,12239.8557,4094383.4918
2023.5417,421.83,6.0446,12231.5050,4094721.0116
2023.6250,419.68,6.0395,12221.6680,4095058.1406
2023.7083,418.50,6.0367,12216.4731,4095395.2835
2023.7917,418.82,6.0374,12218.5235,4095732.8450
2023.8750,420.46,6.0413,12226.9359,4096070.0156
2023.9583,421.86,6.0447,12234.1671,4096407.2001
2024.0417,422.80,6.0469,12239.1762,4096744.8033
2024.1250,424.55,6.0510,12248.0407,4097082.0156
2024.2083,425.38,6.0530,12252.4982,4097419.2418
2024.2917,426.51,6.0556,12258.3733,4097756.8867
2024.3750,426.90,6.0565,12260.7280,4098094.1406
2024.4583,426.91,6.0566,12261.2799,4098431.4084
2024.5417,425.55,6.0534,12255.3252,4098769.0950
2024.6250,422.99,6.0473,12243.6130,4099106.3906
2024.7083,422.03,6.0451,12239.5164,4099443.7001
2024.7917,422.38,6.0459,12241.6990,4099781.4284
2024.8750,423.85,6.0494,12249.2376,4100118.7656
2024.9583,425.40,6.0530,12257.1331,4100456.1167
2025.0417,426.65,6.0560,12263.5796,4100793.8867
2025.1250,427.09,6.0570,12266.1715,4101131.2656
2025.2083,428.15,6.0595,12271.6962,4101468.6584
2025.2917,429.64,6.0629,12279.2376,4101806.4701
2025.3750,430.51,6.0650,12283.8397,4102143.8906
