x,y,ln(y),xln(y),x^2
1966.4548,323.75,5.7800,11366.0529,3866944.4804
1966.5370,322.37,5.7757,11358.1277,3867267.7724
1966.6219,320.36,5.7694,11346.3176,3867601.6976
1966.7068,318.64,5.7641,11336.2198,3867935.6372
1966.7890,318.10,5.7624,11333.3577,3868258.9705
1966.8740,319.78,5.7676,11344.2079,3868593.3319
1966.9562,321.02,5.7715,11352.2944,3868916.6927
1967.0411,322.33,5.7756,11360.7951,3869250.6891
1967.1260,322.50,5.7761,11362.3227,3869584.6999
1967.2027,323.03,5.7777,11365.9960,3869886.4629
1967.2877,324.41,5.7820,11374.8735,3870220.8946
1967.3699,325.00,5.7838,11378.9236,3870544.3234
1967.4548,324.09,5.7810,11373.8980,3870878.3900
1967.5370,322.54,5.7762,11364.9407,3871201.8464
1967.6219,320.92,5.7712,11355.5235,3871535.9414
1967.7068,319.25,5.7660,11345.7472,3871870.0508
1967.7890,319.39,5.7664,11347.0839,3872193.5485
1967.8740,320.73,5.7706,11355.8130,3872528.0799
1967.9562,321.96,5.7744,11363.8200,3872851.6051
1968.0410,322.57,5.7763,11368.0349,3873185.3777
1968.1257,323.15,5.7781,11372.0598,3873518.7710
1968.2049,323.89,5.7804,11377.0194,3873830.5284
1968.2896,325.02,5.7839,11384.3641,3874163.9495
1968.3716,325.57,5.7856,11388.1664,3874486.7557
1968.4563,325.36,5.7849,11387.3864,3874820.2050
1968.5383,324.14,5.7812,11380.4654,3875143.0386
1968.6230,322.11,5.7749,11368.5874,3875476.5161
1968.7077,320.33,5.7694,11358.1671,3875810.0080
1968.7896,320.25,5.7691,11358.1479,3876132.4891
1968.8743,321.32,5.7724,11365.2039,3876466.0092
1968.9563,322.89,5.7773,11375.2743,3876788.9113
1969.0411,324.00,5.7807,11382.5216,3877122.8535
1969.1260,324.41,5.7820,11385.5026,3877457.2039
1969.2027,325.63,5.7858,11393.3377,3877759.2737
1969.2877,326.66,5.7889,11400.0487,3878094.0454
1969.3699,327.38,5.7911,11404.8605,3878417.8030
1969.4548,326.71,5.7891,11401.3175,3878752.2092
1969.5370,325.88,5.7865,11396.7834,3879075.9944
1969.6219,323.66,5.7797,11383.8111,3879410.4290
1969.7068,322.38,5.7757,11376.4966,3879744.8780
1969.7890,321.78,5.7739,11373.3018,3880068.7045
1969.8740,322.85,5.7772,11380.3321,3880403.5759
1969.9562,324.11,5.7811,11388.4802,3880727.4299
1970.0411,325.06,5.7840,11394.7370,3881061.9357
1970.1260,325.99,5.7869,11400.8566,3881396.4559
1970.2027,326.93,5.7897,11406.9734,3881698.6791
1970.2877,328.13,5.7934,11414.6842,3882033.6208
1970.3699,328.08,5.7933,11414.8602,3882357.5428
1970.4548,327.67,5.7920,11412.8880,3882692.1188
1970.5370,326.34,5.7879,11405.3495,3883016.0684
1970.6219,324.68,5.7828,11395.7913,3883350.6728
1970.7068,323.10,5.7780,11386.6688,3883685.2916
1970.7890,323.06,5.7778,11386.8997,3884009.2825
1970.8740,324.01,5.7808,11393.1779,3884344.3239
1970.9562,325.13,5.7842,11400.4543,3884668.3423
1971.0411,326.17,5.7874,11407.2402,3885003.0179
1971.1260,326.69,5.7890,11410.8715,3885337.7079
1971.2027,327.18,5.7905,11414.2699,3885640.0845
1971.2877,327.78,5.7923,11418.3738,3885975.1962
1971.3699,328.93,5.7958,11425.7543,3886299.2826
1971.4548,328.57,5.7947,11424.0875,3886634.0284
1971.5370,327.36,5.7911,11417.2900,3886958.1424
1971.6219,325.43,5.7851,11406.1233,3887292.9166
1971.7068,323.36,5.7788,11394.0327,3887627.7052
1971.7890,323.56,5.7794,11395.7269,3887951.8605
1971.8740,324.80,5.7832,11403.7607,3888287.0719
1971.9562,326.01,5.7869,11411.5687,3888611.2547
1972.0410,326.77,5.7893,11416.6513,3888945.7057
1972.1257,327.63,5.7919,11422.3251,3889279.7766
1972.2049,327.75,5.7923,11423.5060,3889592.1676
1972.2896,329.72,5.7982,11435.8160,3889926.2663
1972.3716,330.07,5.7993,11438.3840,3890249.7285
1972.4563,329.09,5.7963,11433.0101,3890583.8554
1972.5383,328.04,5.7931,11427.1818,3890907.3450
1972.6230,326.32,5.7879,11417.3022,3891241.5001
1972.7077,324.84,5.7833,11408.8251,3891575.6696
1972.7896,325.20,5.7844,11411.4838,3891898.8059
1972.8743,326.50,5.7884,11419.8447,3892233.0036
1972.9563,327.55,5.7916,11426.6540,3892556.5617
1973.0411,328.55,5.7947,11433.1596,3892891.1823
1973.1260,329.57,5.7978,11439.7678,3893226.2119
1973.2027,330.30,5.8000,11444.5783,3893528.8953
1973.2877,331.50,5.8036,11452.2274,3893864.3470
1973.3699,332.48,5.8066,11458.5296,3894188.7622
1973.4548,332.07,5.8053,11456.5875,3894523.8476
1973.5370,330.87,5.8017,11449.9200,3894848.2904
1973.6219,329.31,5.7970,11441.0853,3895183.4042
1973.7068,327.52,5.7915,11430.8199,3895518.5324
1973.7890,327.19,5.7905,11429.3062,3895843.0165
1973.8740,328.17,5.7935,11435.7017,3896178.5679
1973.9562,328.65,5.7950,11439.0631,3896503.0795
1974.0411,329.36,5.7972,11443.8151,3896838.2645
1974.1260,330.71,5.8012,11452.3824,3897173.4639
1974.2027,331.49,5.8036,11457.4781,3897476.3007
1974.2877,332.65,5.8071,11464.8681,3897811.9224
1974.3750,333.19,5.8087,11468.5775,3898156.6406
1974.4583,332.20,5.8057,11463.1860,3898485.5784
1974.5417,331.07,5.8023,11456.9422,3898814.9250
1974.6250,329.15,5.7965,11445.9406,3899143.8906
1974.7083,327.33,5.7910,11435.4742,3899472.8701
1974.7917,327.28,5.7908,11435.6555,3899802.2584
1974.8750,328.31,5.7940,11442.3434,3900131.2656
1974.9583,329.58,5.7978,11450.4510,3900460.2867
1975.0417,330.73,5.8013,11457.8140,3900789.7167
1975.1250,331.46,5.8035,11462.6520,3901118.7656
1975.2083,331.94,5.8050,11465.9938,3901447.8284
1975.2917,333.11,5.8085,11473.4280,3901777.3001
1975.3750,333.95,5.8110,11478.8869,3902106.3906
1975.4583,333.42,5.8094,11476.2333,3902435.4950
1975.5417,331.97,5.8050,11468.1077,3902765.0084
1975.6250,329.95,5.7989,11456.5331,3903094.1406
1975.7083,328.49,5.7945,11448.2544,3903423.2867
1975.7917,328.36,5.7941,11447.9556,3903752.8418
1975.8750,329.38,5.7972,11454.5665,3904082.0156
1975.9583,330.77,5.8014,11463.3705,3904411.2033
1976.0417,331.56,5.8038,11468.5682,3904740.8001
1976.1250,332.74,5.8074,11476.0721,3905070.0156
1976.2083,333.36,5.8092,11480.2347,3905399.2450
1976.2917,334.74,5.8134,11488.8835,3905728.8835
1976.3750,334.72,5.8133,11489.2496,3906058.1406
1976.4583,333.97,5.8111,11485.3003,3906387.4116
1976.5417,333.08,5.8084,11480.5106,3906717.0918
1976.6250,330.68,5.8012,11466.7004,3907046.3906
1976.7083,328.96,5.7959,11456.8751,3907375.7033
1976.7917,328.72,5.7952,11455.9158,3907705.4252
1976.8750,330.16,5.7996,11465.0395,3908034.7656
1976.9583,331.62,5.8040,11474.2457,3908364.1199
1977.0417,332.68,5.8072,11481.0391,3908693.8835
1977.1250,333.17,5.8087,11484.4328,3909023.2656
1977.2083,334.96,5.8140,11495.5110,3909352.6616
1977.2917,336.14,5.8175,11502.9493,3909682.4669
1977.3750,336.93,5.8199,11508.0757,3910011.8906
1977.4583,336.17,5.8176,11504.0950,3910341.3282
1977.5417,334.89,5.8138,11497.0361,3910671.1752
1977.6250,332.56,5.8068,11483.7130,3911000.6406
1977.7083,331.29,5.8030,11476.6296,3911330.1199
1977.7917,331.28,5.8030,11477.0539,3911660.0086
1977.8750,332.46,5.8065,11484.5699,3911989.5156
1977.9583,333.60,5.8099,11491.8243,3912319.0365
1978.0417,334.94,5.8140,11500.2383,3912648.9669
1978.1250,335.26,5.8149,11502.6116,3912978.5156
1978.2083,336.66,5.8191,11511.3395,3913308.0782
1978.2917,337.69,5.8221,11517.8681,3913638.0503
1978.3750,338.02,5.8231,11520.2855,3913967.6406
1978.4583,338.01,5.8231,11520.7120,3914297.2448
1978.5417,336.50,5.8186,11512.3391,3914627.2586
1978.6250,334.42,5.8124,11500.5554,3914956.8906
1978.7083,332.36,5.8062,11488.8132,3915286.5365
1978.7917,332.45,5.8065,11489.8332,3915616.5920
1978.8750,333.76,5.8104,11498.0992,3915946.2656
1978.9583,334.91,5.8139,11505.3901,3916275.9531
1979.0417,336.14,5.8175,11513.1300,3916606.0503
1979.1250,336.69,5.8192,11516.8502,3916935.7656
1979.2083,338.27,5.8238,11526.6012,3917265.4948
1979.2917,338.82,5.8255,11530.3024,3917595.6337
1979.3750,339.24,5.8267,11533.2398,3917925.3906
1979.4583,339.26,5.8268,11533.8419,3918255.1614
1979.5417,337.54,5.8217,11524.2663,3918585.3420
1979.6250,335.72,5.8163,11514.0483,3918915.1406
1979.7083,333.97,5.8111,11504.1862,3919244.9531
1979.7917,334.24,5.8119,11506.2708,3919575.1754
1979.8750,335.32,5.8151,11513.1420,3919905.0156
