x,y,xy,x^2
1968.2896,325.02,639733.4858,3874163.9495
1968.3716,325.57,640842.7418,3874486.7557
1968.4563,325.36,640456.9418,3874820.2050
1968.5383,324.14,638082.0046,3875143.0386
1968.6230,322.11,634113.1545,3875476.5161
1968.7077,320.33,630636.1375,3875810.0080
1968.7896,320.25,630504.8694,3876132.4891
1968.8743,321.32,632638.6901,3876466.0092
1968.9563,322.89,635756.2997,3876788.9113
1969.0411,324.00,637969.3164,3877122.8535
1969.1260,324.41,638804.1657,3877457.2039
1969.2027,325.63,641231.4752,3877759.2737
1969.2877,326.66,643287.5201,3878094.0454
1969.3699,327.38,644732.3179,3878417.8030
1969.4548,326.71,643440.5777,3878752.2092
1969.5370,325.88,641832.7176,3879075.9944
1969.6219,323.66,637487.8242,3879410.4290
1969.7068,322.38,634994.0782,3879744.8780
1969.7890,321.78,633838.7044,3880068.7045
1969.8740,322.85,635973.8209,3880403.5759
1969.9562,324.11,638482.5040,3880727.4299
1970.0411,325.06,640381.5600,3881061.9357
1970.1260,325.99,642241.3747,3881396.4559
1970.2027,326.93,644118.3687,3881698.6791
1970.2877,328.13,646510.5030,3882033.6208
1970.3699,328.08,646438.9568,3882357.5428
1970.4548,327.67,645658.9243,3882692.1188
1970.5370,326.34,643065.0446,3883016.0684
1970.6219,324.68,639821.5185,3883350.6728
1970.7068,323.10,636735.3671,3883685.2916
1970.7890,323.06,636683.0943,3884009.2825
1970.8740,324.01,638582.8847,3884344.3239
1970.9562,325.13,640816.9893,3884668.3423
1971.0411,326.17,642894.4756,3885003.0179
1971.1260,326.69,643947.1529,3885337.7079
1971.2027,327.18,644938.0994,3885640.0845
1971.2877,327.78,646148.6823,3885975.1962
1971.3699,328.93,648442.7012,3886299.2826
1971.4548,328.57,647760.9036,3886634.0284
1971.5370,327.36,645402.3523,3886958.1424
1971.6219,325.43,641624.9149,3887292.9166
1971.7068,323.36,637571.1108,3887627.7052
1971.7890,323.56,637992.0488,3887951.8605
1971.8740,324.80,640464.6752,3888287.0719
1971.9562,326.01,642877.4408,3888611.2547
1972.0410,326.77,644403.8376,3888945.7057
1972.1257,327.63,646127.5431,3889279.7766
1972.2049,327.75,646390.1560,3889592.1676
1972.2896,329.72,650303.3269,3889926.2663
1972.3716,330.07,651020.6940,3890249.7285
1972.4563,329.09,649115.6438,3890583.8554
1972.5383,328.04,647071.4639,3890907.3450
1972.6230,326.32,643706.3374,3891241.5001
1972.7077,324.84,640814.3693,3891575.6696
1972.7896,325.20,641551.1779,3891898.8059
1972.8743,326.50,644143.4590,3892233.0036
1972.9563,327.55,646241.8361,3892556.5617
1973.0411,328.55,648242.6534,3892891.1823
1973.1260,329.57,650283.1358,3893226.2119
1973.2027,330.30,651748.8518,3893528.8953
1973.2877,331.50,654144.8725,3893864.3470
1973.3699,332.48,656106.0244,3894188.7622
1973.4548,332.07,655325.1354,3894523.8476
1973.5370,330.87,652984.1872,3894848.2904
1973.6219,329.31,649933.4279,3895183.4042
1973.7068,327.52,646428.4511,3895518.5324
1973.7890,327.19,645804.0229,3895843.0165
1973.8740,328.17,647766.2306,3896178.5679
1973.9562,328.65,648740.7051,3896503.0795
1974.0411,329.36,650170.1767,3896838.2645
1974.1260,330.71,652863.2095,3897173.4639
1974.2027,331.49,654428.4530,3897476.3007
1974.2877,332.65,656746.8034,3897811.9224
1974.3750,333.19,657842.0062,3898156.6406
1974.4583,332.20,655915.0473,3898485.5784
1974.5417,331.07,653711.5206,3898814.9250
1974.6250,329.15,649947.8187,3899143.8906
1974.7083,327.33,646381.2678,3899472.8701
1974.7917,327.28,646309.8276,3899802.2584
1974.8750,328.31,648371.2113,3900131.2656
1974.9583,329.58,650906.7565,3900460.2867
1975.0417,330.73,653205.5414,3900789.7167
1975.1250,331.46,654674.9325,3901118.7656
