x,y,xy,x^4,x^3,x^2,x^2y
1961.0411,316.89,621434.3142,14789271551779.2539,7541540843.6770,3845682.1959,1218658231.0553317
1961.1260,317.70,623049.7302,14791832825372.8633,7542520381.3385,3846015.1879,1221879025.1882052
1961.2027,318.54,624721.5081,14794147006383.5059,7543405384.0450,3846316.0305,1225205508.3514214
1961.2877,319.48,626592.1944,14796711930956.6992,7544386237.1424,3846649.4422,1228927563.784884
1961.3699,320.58,628775.9625,14799192681102.9922,7545334860.6517,3846971.8846,1233262246.773406
1961.4548,319.77,627214.4014,14801755243200.5430,7546314726.8041,3847304.9324,1230252698.2473109
1961.5370,318.56,624867.2267,14804236627460.8203,7547263511.9607,3847627.4024,1225700185.2986686
1961.6219,316.79,621422.2017,14806799844556.7051,7548243545.0770,3847960.4786,1218995400.0028992
1961.7068,314.99,617918.0249,14809363394486.2363,7549223663.0297,3848293.5692,1212173991.3516738
1961.7890,315.31,618571.6896,14811845735244.8242,7550172691.9892,3848616.0805,1213507136.3490765
1961.8740,316.10,620148.3714,14814412960802.4277,7551154131.6121,3848949.5919,1216652965.9920037
1961.9562,317.01,621959.7350,14816895936325.6816,7552103322.3503,3849272.1307,1220257758.1590526
1962.0411,317.94,623811.3473,14819460797092.3008,7553083774.3880,3849605.2781,1223943502.1156833
1962.1260,318.55,625035.2373,14822025990834.8477,7554064311.2801,3849938.4399,1226397890.0224998
1962.2027,319.68,627276.9591,14824343713661.6777,7554950216.7445,3850239.4359,1230844542.864449
1962.2877,320.57,629050.5680,14826912563648.0723,7555932070.3320,3850573.0176,1234378192.2428286
1962.3699,321.02,629959.9853,14829397110223.3867,7556881661.4153,3850895.6244,1236214513.3532376
1962.4548,320.62,629202.2580,14831963593784.1738,7557862526.9658,3851228.8420,1234780991.3358395
1962.5370,319.61,627246.4506,14834448775120.2246,7558812279.7788,3851551.4764,1230994367.362296
1962.6219,317.40,622936.1911,14837015914347.3730,7559793312.3784,3851884.7224,1222588210.8769403
1962.7068,316.24,620686.3984,14839583386747.5977,7560774429.8576,3852217.9828,1218225414.8699958
1962.7890,315.42,619102.9064,14842069525557.4199,7561724426.5978,3852540.6585,1215168374.5106938
1962.8740,316.69,621622.5671,14844640678874.9238,7562706867.0098,3852874.3399,1220166774.6953306
1962.9562,317.70,623631.1847,14847127453096.6914,7563657025.6110,3853197.0431,1224160700.5987284
1963.0411,318.74,625699.7202,14849696237670.6855,7564638477.3455,3853530.3603,1228274267.0385826
1963.1260,319.07,626374.6128,14852265355560.1113,7565620013.9778,3853863.6919,1229652288.1668751
1963.2027,319.86,627950.0156,14854586623815.0820,7566506822.6603,3854164.8413,1232793166.1341527
1963.2877,321.38,630961.4010,14857159403217.6562,7567489677.2478,3854498.5930,1238758757.8091133
1963.3699,322.24,632676.3166,14859647750093.2734,7568440236.3983,3854821.3642,1242177636.4081893
1963.4548,321.49,631231.0837,14862218159115.9082,7569422101.8563,3855154.7516,1239393701.105721
1963.5370,319.74,627821.3204,14864707141399.3457,7570372822.8189,3855477.5504,1232750391.9549842
